open_time,close_time,symbol,side,open_price,close_price,volume,pnl,tx_hash,gas_cost_eth,tokens_sold,tokens_bought
2020-12-08 22:08:28,2020-12-08 22:08:28,3Crv/USDC,SELL,1.00618056,1.00618056,83333.93819019,0,0x63428686f9ba344983aa1eb5133233365cd47f23d849fcc666bc04f503cbd7d9,0.012375,3Crv:83333.9382,USDC:83848.9883
2020-12-10 23:24:44,2020-12-10 23:24:44,3Crv/USDC,SELL,1.00585066,1.00585066,18242.70873153,0,0x066824dd502c5dddf37d6d6c886da70bd2f33f4a50d4cd1fec895118327966de,0.003884,3Crv:18242.7087,USDC:18349.4406
2020-12-10 23:27:18,2020-12-10 23:27:18,USDT/USDC,SELL,0.99899941,0.99899941,350558.934705,0,0x5646c65d43e60e3a6d7059c426ea71b64c19fe83bd09b266fbd734f5f718e3a6,0.048662,USDT:350558.9347,USDC:350208.1702
2020-12-16 12:42:00,2020-12-16 12:42:00,BBTC/bBTC/sbtcCRV,SELL,1.99646001,1.99646001,0.01,0,0x45ffcc0b989bf4ef1e1e4e2418cf5aedcee1eef424ee3513236975ac0d2b81ae,0.025522,BBTC:0.01,bBTC/sbtcCRV:0.02
2020-12-16 12:42:42,2020-12-16 12:42:42,bBTC/sbtcCRV/bBTC/sbtcCRV-gauge,SELL,1.0,1.0,0.0199646,0,0x85fdda079425720f63848d984fecd1e62d15ef131e4798deecb2250e5e315cc8,0.010645,bBTC/sbtcCRV:0.02,bBTC/sbtcCRV-gauge:0.02
2020-12-16 12:43:22,2020-12-16 12:43:22,bBTC/sbtcCRV-gauge/bBTC/sbtcCRV,SELL,1.0,1.0,0.0199646,0,0x2b88df13c63bf7d478e78ebbc56f9832b6ac32ec34fd2e96002d8c71c049f8a5,0.008469,bBTC/sbtcCRV-gauge:0.02,bBTC/sbtcCRV:0.02
2020-12-16 12:43:55,2020-12-16 12:43:55,BBTC/bBTC/sbtcCRV,SELL,2.01768521,2.01768521,0.89076,0,0x44a0f2e4ff32be45a801f497cc68bfdac0932838fd77546983ebbb8c2bb606cd,0.019532,BBTC:0.8908,bBTC/sbtcCRV:1.7973
2020-12-16 12:45:39,2020-12-16 12:45:39,bBTC/sbtcCRV/bBTC/sbtcCRV-gauge,SELL,1.0,1.0,1.81723787,0,0x4ad651600ee9c038b1c77d29cbc325d362d2a85d3ce1d7562f4af822cb104a8f,0.009746,bBTC/sbtcCRV:1.8172,bBTC/sbtcCRV-gauge:1.8172
2020-12-16 12:49:27,2020-12-16 12:49:27,bBTC/sbtcCRV-gauge/bBTC/sbtcCRV,SELL,1.0,1.0,1.81723787,0,0xa877f81734efb9f0871b8528ffddea67b97540991f6bda55c13b527f19b05368,0.00847,bBTC/sbtcCRV-gauge:1.8172,bBTC/sbtcCRV:1.8172
2020-12-16 13:16:19,2020-12-16 13:16:19,bBTC/sbtcCRV/bBTC/sbtcCRV-gauge,SELL,1.0,1.0,1.81723787,0,0xa655fe5ca03f330db1a810dea1aca44998de5364b197400afa1500b812a06a09,0.015363,bBTC/sbtcCRV:1.8172,bBTC/sbtcCRV-gauge:1.8172
